AccountId,Amount
13ttJLDp5FyzPhsouR77UTVAow9Zp3qLeQ5MejtSxzDCxQyR,26.00
13uTX2A89bZUtqYeJbactKLV5BSiwcoRafLsPuh4pEckeXaS,20.00
13uzk7s6FLXpgAPE57QaArBu1FUsmS2wyb5vVmR71gYdxaZF,110.00
13wUEQDU8X8vCAgL8496EMD8B83uU7hk3DMpd13JibwH5iRd,5.00
13wirez3Dm41yxayC6ejzhYYrAogxBLt36B8py5thCj6GCyh,223.00
13xBJsQMoMz9xWTis8oHW6ZcgMLVX5ScPTY4M9jfrrTJ9gH1,488.50
13xcLb73X7ULkrbME8136wVhKX2m1JLSWdBTTNrUoEmGUbpR,10.00
13zKU6kttC8HhbaqfyF9aNrsAUJuHpousfhxHoa2nPXt1Uio,20.00
13zU7eHRaWmJjKRzKAzwBx7cDvzF2fFPme7EoesprtxuF6ZK,85.69
145uos36VeX3XTUkoGD5ZcdiKk8zz11KRQykWC5mTmdGiWyn,500.00
1466iAALfwEt4uKa75eDyNzti1tRYwEpA4hnM7ScdgWCCvUc,35.00
1467tm7MeavUeZcZoPCjMfLTES4HTe8amkzy7g8X4b144Sdz,24.00
146Z1q9LbwD5vxdeW7KeLG4jRBScFJCG16tU2DV2fGNBEh12,139.12
1498AhBhRxSkfCkwrku2137cUE2AFuTH3PcrgTiMQhsFRAuf,37.50
14BNkX1QSJ6ckXJsDzUt1kYad1572RMenvagELPAJFirZG1q,5.00
14DcqH5KJ4C9weKXyXJVpf6wwGF44zDY6mbogtYUuFUnNqvr,159.44
14DoitMzsKiYDxFy4hX6Z6DJwie9ZivLsJU8NQ3edv8hUkDq,82.56
14EB6NshJmvFex4kVaSZ3u5pbPWERKPmZzW5aaUAin7bTEaJ,5.00
14Fws16UK1Cwy1i9Nid2iMSWUpdhvAye8PPqDvbP9xikgbbJ,6.00
14K5m2xeiFop8DoBpdxwZH6Y7graBFHJT7qceyaW39gEfTrz,264.00
14KAvwQs2mCRhrQ6VWJeXuNN8Z11nU48uWcotUSK3o8Gsx57,79.88
14Kb3BJSg7wrZWrfL6jJHHVmERd1d7cVAY5AiciwjQsu8Nt4,5.00
14M5ceqP9VmTGeHFBtFD3vjE8ShjqetEM7PuFskFbpKydpnU,20.00
14MHFuhg8tT7Bpg5pxWXqpzrnXCdbqA4BXAD3EnEe9JsQVsw,10.87
14NCGKoRyShdJDe9jPhPqZJ1zhDg1M9JUaqkNvJL6SQxHHnh,96.52
14NHzGD9Tv1v3TAUQsN9yGfimzDtJmE5pupdks4AoZM96s38,40.00
14Py2eSLcH1LyoikpMmwinkm5QmbSFUucURK8CrXbnbijWEu,500.00
14QfYrQaDgM5pXCjLmTtNF5cgk3EcncBbdfM3394KhxDdH4Y,5.00
14QnNWnmCaa5bp2KnDkMbi49TDJJj5vprAWNpPPod3N4YZuW,5.50
14SPNfJTBT9eCfxCZn4gCkUhwm6YGeynPQ24oWTjEn9B2aUH,6.00
14SmzqdZFnYRttwGrGYLXsgJ574LtYMA4uvTTRwv76e1PqAv,35.73
14T3zq6ZewGKtNXCJTW8wEeMrSjjW5vLYVh86oRwio7xHSox,5.00
14Uy6Bm1QgBE2Ayzu18787A7u4SiBUerip3Jvjfz8XsV5Lma,50.00
14Vj8yozJLABYjZWiL5C3fX6nPJhYRN43SZeygMYkSze5qHg,20.00
14VrWKTopyrc1RrRECzJ7RxbsdNqrht4EHPDruEwwhmdf3PZ,5.10
14YM8j3NvoqceEAacZoR86ZiC2YLbyoPHuZ3ngU3dn3op3kx,20.00
14YVe4kM6ccuiPNF8cRbDQHp7myt6aK3VArSfyDYtwqs2HMc,30.00
14YpQ13PnAC8MjC7WgReNopSNXfWtZUVbHvtvGEqp4Rp7fy2,50.00
14aE2vUSXCvEp1LaxygnyRyKDkCjtbaWSpjciT5CmWi6y9pj,10.00
14aQ8oSoG141cCidAsdLdF1N2kfKptvXehJbtqmBu9mzYPz9,10.00
14aRHbm7t4wDdTy3wFAC33jXNyUDNS2p1hPUcd1devn9K5xK,350.00
