AccountID,Amount
12zV4zD2Fp8q9hbQSuuNgLuQUX2w8hfrGqHbc5D4tWm1XmD6,6.00
16V6Pp7jfK7RRSsoykaETsu9NP9gfLYkLf2i6UFhND97Ts8K,95.00
12VnC3Zntc88uLdhpFfyYDJjLfjKeCrNmotCovpV3J6SU4PV,155.00
15u2UAYnRQjCMLLDB3vf1Y5GHau6HRQ4kFUDA3TphVMKsuAa,100.00
198Ao3G3ZSKGFhxNtoUdXcv6Pu4EAyeskmQHcfhhyHyq8GB,16.50
12Vf5iExJSzAqMSpj4NWcydvKVLBsB7AzL7GfkkRVRd8jgJ4,25.00
14TCa34JR9G6dmZBC9Bs7AGbBibja8fhvoypD1h3Cg9NtR3b,5.10
16SfqGLVcqxDEDrg2seZvxPiab5Sbjmrd7Rzq6AtBAg7W1dt,35.00
1eFXeCL4tt1XXBiG8HvhH26NwKdLJKEvSGqeLeKhYezRrjT,21.00
158Vye4rbS3oDDv2mbbe5BoevWaKHbYh2VoHaUQLMtgiTcYA,5.00
15JcAuZ5RdBrimsEpNeYAS57idy5jninm5BQokpmeFRrwUDh,15.00
13R3SxDDoAJxFKLcbA7L4jHiLVFChCYq1wmCCvjbT7FzXScn,100.00
16fBjFfZASjXfizSZR4HKNSwS1jmGxB2P7TVpuUPNzaTeMtR,100.00
1ENVX2Dq3kGQKAhoCZ6522qVoxGBdHim9HFumHPKF7pKnfa,15.00
16ii1z2Ebt8AKMrLiuk6QiYYDd5Pc732r4C6BGsufhw5EXip,5.00
14w5FFnd9dHjN15duFH6GN5SgwM76sdx2g6yWSTGQo4nnxv,5.00
1cL7eZRzPeXUmro7cf4NV2HyidptdRPueoYvuTvXhwytmfk,40.00
14XoKG8kc2ucKTy19Hk5c7YQVBUpWJP8KXkrhkH2bVkNtoKD,7.00
12BQXJQKmrcEQYntZaVbgdcPxyANw5m5mFGd4Gg85McHQWNz,"10,050.00"
1y1GG1WtSiygitoFYuxnrtt3jo3XTVQxhcG2u9vvu2uR3ND,"25,000.00"
12bL9aJ3ekm6o3cdpzi6gi5ruAqvDB8TGDo4HPnXu7brmcEc,"1,000.00"
16B56FzqCnk3RYajTcNdCU81Asx6yGUxdWu8ecb8zdMce2Xh,100.00
142rwQdaCmygwGtXG84sAFbC8sdMRcPXG19TGoEPwcCK2cHV,10.00
152ZMUDchS61jKKUJGS4uTnQ3gDCY814PHokuG2p36eChDVo,10.00
13zXpgfJsuXoegKY3PicvyVHgqogydYhQGunui4xRfbQTHZQ,5.00
15DU8XbMcV84vS562FbbXpxzAveqJGapDvhzL52e8TPVuSsg,132.50
17UeoQh3Nhdjcq9Qi1EbMTaaiJJrZ9AKxERP8v9Lz7HCijo,9.50
1KnoSYMdcVKhJbEjLhq7wLSo864YipSecCf35j67154bnAn,55.99
